10.1103/PhysRevA.72.063620|2005-12-27|73.20|b'grigory e. astrakharchik'
10.1103/PhysRevA.73.013815|2006-01-20|73.20|b'a. y. elezzabi><s. e. irvine'
10.1103/PhysRevA.73.023819|2006-02-23|78.67|b'tony f. heinz><georg a. reider><jie  shan><i.  stiopkin><jerry icban dadap'
10.1103/PhysRevA.73.053818|2006-05-19|78.67|b'ludovico  silvestri><j. h. wu><franco  bassani><j. h. xu><maurizio  artoni><giuseppe c. la rocca><j. y. gao'
10.1103/PhysRevA.74.021601|2006-08-17|73.20|b'a. i. fern\xc3\xa1ndez-dom\xc3\xadnguez><e. olmedilla moreno><francisco j. garc\xc3\xada-vidal><l.  mart\xc3\xadn-moreno'
10.1103/PhysRevA.74.033811|2006-09-18|78.67|b'cristiano  ciuti><iacopo  carusotto'
10.1103/PhysRevA.74.052338|2006-11-30|73.20|b'stephen a. lyon'
10.1103/PhysRevA.74.053803|2006-11-09|78.67|b'dmytro a. bevzenko><sergei p. lukyanets'
10.1103/PhysRevA.74.060302|2006-12-07|78.67|b'sean d. barrett><gerard j. milburn'
10.1103/PhysRevA.75.012902|2007-01-22|73.20|b'g. a. bocan><jorge e. miraglia><n\xc3\xa9stor r. arista'
10.1103/PhysRevA.75.013803|2007-01-08|78.67|b'christopher  gies><jan  wiersig><michael  lorke><frank  jahnke'
10.1103/PhysRevA.75.030902|2007-03-26|73.20|b'hui  yan><m. s. zhan><c.  garc\xc3\xada-segundo'
10.1103/PhysRevA.75.042101|2007-04-05|73.20|b'zdravko  lenac><m. s. toma\xc5\xa1'
10.1103/PhysRevA.75.052117|2007-05-31|78.67|b'diego r. dalvit><s.  spagnolo><peter w. milonni'
10.1103/PhysRevA.75.052330|2007-05-23|78.67|b'pawe\xc5\x82  machnikowski><vollrath martin axt><tilmann  kuhn'
10.1103/PhysRevA.75.052901|2007-05-30|78.67|b'd. v. guzatov><v. v. klimov'
10.1103/PhysRevA.75.053808|2007-05-08|78.67|b'sergey e. skipetrov'
10.1103/PhysRevA.75.062905|2007-06-28|78.67|b'peter l. knight><rachele  fermani><stefan  scheel'
10.1103/PhysRevA.75.063808|2007-06-11|78.67|b'carsten  weber><andreas  knorr><guram t. adamashvili><nugzar t. adamashvili'
10.1103/PhysRevA.75.063816|2007-06-15|78.67|b'miriam  deutsch><keisuke  hasegawa><jens u. n\xc3\xb6ckel'
10.1103/PhysRevA.76.012313|2007-07-16|73.20|b'c. p. sun><jing fa lu><l. h. zhou'
10.1103/PhysRevA.76.013819|2007-07-19|73.20|b'c. p. sun><f. m. hu><t. y. shi><l. h. zhou'
10.1103/PhysRevA.76.013822|2007-07-20|78.67|b'mher  ghulinyan'
