10.1103/PhysRevE.72.046101|2005-10-03|b'89.75.Da><95.75.Mn><89.75.Kd'|b'J. R. Mureika><C. C. Dyer><G. C. Cupchik',,,
10.1103/PhysRevE.72.026108|2005-08-08|b'89.75.Hc><02.50.\xe2\x88\x92r><89.75.Da'|b'Janusz A. Ho\xc5\x82yst><Julian Sienkiewicz><Agata Fronczak><Piotr Fronczak><Krzysztof Suchecki',,,
10.1103/PhysRevE.72.065103|2005-12-12|b'89.75.Da><68.35.Ct><05.40.Fb'|b'S. J. Mitchell',,,
10.1103/PhysRevE.72.016107|2005-07-08|b'64.60.\xe2\x88\x92i><05.45.\xe2\x88\x92a><68.35.Af'|b'B. A. H. Huisman><A. Fasolino',,,
10.1103/PhysRevE.72.067102|2005-12-07|b'89.75.Hc><02.50.Ey><84.35.+i'|b'M. A. M. de Aguiar><Irving R. Epstein><Yaneer Bar-Yam',,,
10.1103/PhysRevE.72.041906|2005-10-06|b'87.23.Cc><89.75.Hc><89.75.Fb><64.60.Ht'|b'Beom Jun Kim><Jianbin Liu><Jaegon Um><Sung-Ik Lee',,,
10.1103/PhysRevE.72.056135|2005-11-29|b'89.75.Hc><05.10.\xe2\x88\x92a><89.20.Ff'|b'David Gfeller><Jean-C\xc3\xa9dric Chappelier><Paolo De Los Rios',,,
10.1103/PhysRevE.72.036302|2005-09-13|b'47.70.Fw><05.45.\xe2\x88\x92a'|b'S. Berti><D. Vergni><F. Visconti><A. Vulpiani',,,
10.1103/PhysRevE.72.065301|2005-12-12|b'47.15.Ki><07.05.Kf><07.05.Pj><05.45.Tp'|b'L. R. Pastur><F. Lusseyran><Y. Fraigneau><B. Podvin',,,
10.1103/PhysRevE.72.026613|2005-08-30|b'05.45.Yv><42.65.Tg'|b'A. V. Rybin><I. P. Vadeiko><A. R. Bishop',,,
10.1103/PhysRevE.72.026128|2005-08-24|b'89.75.Da><81.15.Aa><68.35.Ct><05.10.Gg'|b'L. A. Braunstein><Chi-Hang Lam',,,
10.1103/PhysRevE.72.026209|2005-08-17|b'05.45.Ac><05.90.+m><05.10.Cc'|b'E. Mayoral><A. Robledo',,,
10.1103/PhysRevE.72.017201|2005-07-20|b'05.45.Mt><03.67.Lx><24.10.Cn'|b'J. Flores><S. Yu. Kun><T. H. Seligman',,,
10.1103/PhysRevE.72.046120|2005-10-18|b'89.65.Gh><05.45.Df><05.45.Tp'|b'P. Manimaran><Prasanta K. Panigrahi><Jitendra C. Parikh',,,
10.1103/PhysRevE.72.025603|2005-08-19|b'42.65.Tg><89.75.Kd><42.65.Sf><47.54.+r'|b'Roberta Zambrini><Maxi San Miguel><C\xc3\xa9line Durniak><Majid Taki',,,
10.1103/PhysRevE.72.026305|2005-08-25|b'89.75.Hc><05.40.\xe2\x88\x92a'|b'L. Lizana><Z. Konkoli',,,
10.1103/PhysRevE.72.038301|2005-09-16|b'47.20.Ft><47.20.Ky><47.15.Fe><05.45.\xe2\x88\x92a'|b'Fernando G. Basombr\xc3\xado><Gabriel Campo',,,
10.1103/PhysRevE.72.046143|2005-10-31|b'89.75.Fb><05.50.+q><05.40.\xe2\x88\x92a><89.75.Da'|b'M. C. Santos><G. M. Viswanathan><E. P. Raposo><M. G. E. da Luz',,,
10.1103/PhysRevE.72.016218|2005-07-27|b'05.45.Xt'|b'A. Shabunin><V. Astakhov><J. Kurths',,,
10.1103/PhysRevE.72.066211|2005-12-21|b'82.40.Np><82.45.\xe2\x88\x92h><05.45.\xe2\x88\x92a><05.65.+b'|b'F. Plenge><H. Varela><K. Krischer',,,
10.1103/PhysRevE.72.013701|2005-07-08|b'42.70.Df><42.65.Sf><05.45.Ac'|b'E. Brasselet',,,
10.1103/PhysRevE.72.056205|2005-11-08|b'05.45.Xt><82.40.Ck><82.50.Hp><82.50.Nd'|b'Linda B. Smolka><Bradley Marts><Anna L. Lin',,,
10.1103/PhysRevE.72.049902|2005-10-19|b'52.35.Ra><96.50.Ci><95.30.Qd><89.75.Da><99.10.Cd><99.10.Fg'|b'Bogdan Hnat><Sandra C. Chapman><George Rowlands',,,
10.1103/PhysRevE.72.067101|2005-12-01|b'89.75.Hc><89.75.Fb><87.23.\xe2\x88\x92n'|b'Louie H. Yang><Matthew D. Holland',,,
10.1103/PhysRevE.72.046111|2005-10-12|b'89.75.Hc><89.75.Fb'|b'Petter Holme',,,
10.1103/PhysRevE.72.036202|2005-09-02|b'05.45.Mt><03.65.Nk><73.23.\xe2\x88\x92b'|b'M. Mart\xc3\xadnez-Mares',,,
10.1103/PhysRevE.72.037104|2005-09-27|b'89.75.Da><05.65.+b><87.23.Kg><87.23.Ge'|b'Young-Pyo Jeon><Benjamin J. McCoy',,,
10.1103/PhysRevE.72.026138|2005-08-31|b'89.75.Da><89.75.Fb><89.75.Hc'|b'T. S. Evans><J. P. Saram\xc3\xa4ki',,,
10.1103/PhysRevE.72.036109|2005-09-09|b'89.75.Fb><89.20.\xe2\x88\x92a><89.75.Hc'|b'Hyun-Joo Kim><Jin Min Kim',,,
10.1103/PhysRevE.72.016205|2005-07-12|b'05.45.Xt><47.52.+j'|b'Shuguang Guan><C. -H. Lai><G. W. Wei',,,
10.1103/PhysRevE.72.011705|2005-07-15|b'61.30.\xe2\x88\x92v><89.75.Fb><82.70.Kj><73.50.\xe2\x88\x92h'|b'C. V\xc3\xb6ltz><R. Stannarius',,,
10.1103/PhysRevE.72.036203|2005-09-02|b'03.67.Lx><89.75.Hc><72.15.Rn'|b'O. Giraud><B. Georgeot><D. L. Shepelyansky',,,
10.1103/PhysRevE.72.011113|2005-07-27|b'05.40.Ca><87.15.Vv><89.75.Fb'|b'Jing-Dong Bao><Yan-Li Song><Qing Ji><Yi-Zhong Zhuo',,,
10.1103/PhysRevE.72.029905|2005-08-29|b'89.75.Hc><64.60.Ak><84.35.+i><05.40.\xe2\x88\x92a><99.10.Cd'|b'Tao Zhou><Gang Yan><Bing-Hong Wang',,,
