10.1103/PhysRevE.72.025603|2005-08-19|b'42.65.Tg><89.75.Kd><42.65.Sf><47.54.+r'|b'Roberta Zambrini><Maxi San Miguel><C\xc3\xa9line Durniak><Majid Taki',,,
10.1103/PhysRevE.72.026305|2005-08-25|b'89.75.Hc><05.40.\xe2\x88\x92a'|b'L. Lizana><Z. Konkoli',,,
10.1103/PhysRevE.72.031603|2005-09-16|b'68.08.Bc><05.70.Fh><68.35.Rh><64.60.Fr'|b'A. Milchev><M. M\xc3\xbcller><K. Binder',,,
10.1103/PhysRevE.72.046143|2005-10-31|b'89.75.Fb><05.50.+q><05.40.\xe2\x88\x92a><89.75.Da'|b'M. C. Santos><G. M. Viswanathan><E. P. Raposo><M. G. E. da Luz',,,
10.1103/PhysRevE.72.046201|2005-10-03|b'05.45.\xe2\x88\x92a><89.75.Kd><82.40.Ck'|b'J. Gorecki><J. N. Gorecka><K. Yoshikawa><Y. Igarashi><H. Nagahara',,,
10.1103/PhysRevE.72.036604|2005-09-12|b'05.45.Yv><05.45.Xt><89.75.Kd'|b'Y. Gopher><L. Friedland><A. G. Shagalov',,,
10.1103/PhysRevE.72.049902|2005-10-19|b'52.35.Ra><96.50.Ci><95.30.Qd><89.75.Da><99.10.Cd><99.10.Fg'|b'Bogdan Hnat><Sandra C. Chapman><George Rowlands',,,
10.1103/PhysRevE.72.012601|2005-07-08|b'68.35.Ct><02.50.\xe2\x88\x92r><05.40.\xe2\x88\x92a><64.60.Ht'|b'Yup Kim><S. Y. Yoon',,,
10.1103/PhysRevE.72.067101|2005-12-01|b'89.75.Hc><89.75.Fb><87.23.\xe2\x88\x92n'|b'Louie H. Yang><Matthew D. Holland',,,
10.1103/PhysRevE.72.011405|2005-07-19|b'82.70.Dd><61.72.\xe2\x88\x92y><75.40.Mg><64.60.Cn'|b'Ramin Haghgooie><Patrick S. Doyle',,,
10.1103/PhysRevE.72.046111|2005-10-12|b'89.75.Hc><89.75.Fb'|b'Petter Holme',,,
10.1103/PhysRevE.72.037104|2005-09-27|b'89.75.Da><05.65.+b><87.23.Kg><87.23.Ge'|b'Young-Pyo Jeon><Benjamin J. McCoy',,,
10.1103/PhysRevE.72.026138|2005-08-31|b'89.75.Da><89.75.Fb><89.75.Hc'|b'T. S. Evans><J. P. Saram\xc3\xa4ki',,,
10.1103/PhysRevE.72.036109|2005-09-09|b'89.75.Fb><89.20.\xe2\x88\x92a><89.75.Hc'|b'Hyun-Joo Kim><Jin Min Kim',,,
10.1103/PhysRevE.72.026103|2005-08-03|b'64.60.\xe2\x88\x92i><05.10.\xe2\x88\x92a><05.60.\xe2\x88\x92k><05.70.Fh'|b'M. D\xc3\xadez-Minguito><P. L. Garrido><J. Marro',,,
10.1103/PhysRevE.72.011705|2005-07-15|b'61.30.\xe2\x88\x92v><89.75.Fb><82.70.Kj><73.50.\xe2\x88\x92h'|b'C. V\xc3\xb6ltz><R. Stannarius',,,
10.1103/PhysRevE.72.016118|2005-07-19|b'02.50.Ey><05.70.Fh><64.60.\xe2\x88\x92i'|b'T. Hanney><R. B. Stinchcombe',,,
10.1103/PhysRevE.72.036203|2005-09-02|b'03.67.Lx><89.75.Hc><72.15.Rn'|b'O. Giraud><B. Georgeot><D. L. Shepelyansky',,,
10.1103/PhysRevE.72.046107|2005-10-07|b'05.70.Fh><64.60.Cn><75.10.Hk><64.70.Pf'|b'Nurith Schupper><Nadav M. Shnerb',,,
10.1103/PhysRevE.72.011113|2005-07-27|b'05.40.Ca><87.15.Vv><89.75.Fb'|b'Jing-Dong Bao><Yan-Li Song><Qing Ji><Yi-Zhong Zhuo',,,
10.1103/PhysRevE.72.016128|2005-07-27|b'05.50.+q><64.60.Cn><64.60.Fr><75.10.Hk'|b'Youjin Deng><Henk W. J. Bl\xc3\xb6te><M. P. Nightingale',,,
10.1103/PhysRevE.72.056212|2005-11-17|b'05.45.\xe2\x88\x92a><47.35.+i><47.54.+r><89.75.Kd'|b'Anne Catll\xc3\xa1><Jeff Porter><Mary Silber',,,
10.1103/PhysRevE.72.031604|2005-09-19|b'64.60.Qb><05.45.Yv><89.90.+n'|b'Rosalie Laure Woulach\xc3\xa9><David Yem\xc3\xa9l\xc3\xa9><Timol\xc3\xa9on C. Kofan\xc3\xa9',,,
10.1103/PhysRevE.72.011503|2005-07-19|b'64.70.Fx><64.60.\xe2\x88\x92i><64.60.Ak'|b'Riccardo Fantoni><Domenico Gazzillo><Achille Giacometti',,,
10.1103/PhysRevE.72.028103|2005-08-29|b'64.60.Ht><05.70.Ln><75.40.Gb><05.40.\xe2\x88\x92a'|b'Federico Corberi><Eugenio Lippiello><Marco Zannetti',,,
10.1103/PhysRevE.72.026136|2005-08-29|b'89.75.Hc><05.70.Fh'|b'Juyong Park><M. E. J. Newman',,,
10.1103/PhysRevE.72.026131|2005-08-26|b'89.75.Hc><05.65.+b><87.23.Ge><89.20.Hh'|b'Kwangho Park><Ying-Cheng Lai><Nong Ye',,,
10.1103/PhysRevE.72.046213|2005-10-20|b'05.45.Df><89.75.Kd><87.23.Cc'|b'Jonathan Ozik><Brian R. Hunt><Edward Ott',,,
10.1103/PhysRevE.72.016130|2005-07-29|b'64.60.Ht><05.45.Xt><64.60.Ak><05.10.Cc'|b'Thomas Risler><Jacques Prost><Frank J\xc3\xbclicher',,,
10.1103/PhysRevE.72.012901|2005-07-05|b'87.23.Kg><89.75.Da><02.50.Ey'|b'Alexandre Rosas><Isabel Gordo><Paulo R. A. Campos',,,
10.1103/PhysRevE.72.036117|2005-09-16|b'89.75.Hc><87.10.+e><02.10.Ox><05.70.Ln'|b'Rudolf Hanel><Stuart A. Kauffman><Stefan Thurner',,,
10.1103/PhysRevE.72.036208|2005-09-09|b'47.54.+r><05.70.Ln><89.75.Kd'|b'Swati Bhattacharya',,,
10.1103/PhysRevE.72.016614|2005-07-18|b'42.65.Sf><89.75.Kd><05.65.+b><42.70.Qs'|b'Dami\xc3\xa0 Gomila><Gian-Luca Oppo',,,
10.1103/PhysRevE.72.066116|2005-12-14|b'02.50.Cw><05.50.+q><64.60.Ak'|b'John C. Wierman><Dora Passen Naor><Rulian Cheng',,,
10.1103/PhysRevE.72.066202|2005-12-01|b'43.25.+y><89.75.Kd'|b'Isabel P\xc3\xa9rez-Arjona><V\xc3\xadctor J. S\xc3\xa1nchez-Morcillo',,,
10.1103/PhysRevE.72.065104|2005-12-15|b'89.75.Hc><02.50.Ey><02.50.Le><05.40.\xe2\x88\x92a'|b'Jun Ohkubo><Muneki Yasuda><Kazuyuki Tanaka',,,
10.1103/PhysRevE.72.041404|2005-10-28|b'61.43.Gt><47.55.Mh><64.60.\xe2\x88\x92i'|b'A. D. Ara\xc3\xbajo><T. F. Vasconcelos><A. A. Moreira><L. S. Lucena><J. S. Andrade, Jr.',,
10.1103/PhysRevE.72.046103|2005-10-05|b'05.50.+q><05.70.Jk><64.60.Fr'|b'Hiromi Otsuka><Koutaro Mori><Yutaka Okabe><Kiyohide Nomura',,,
10.1103/PhysRevE.72.025103|2005-08-30|b'89.75.Hc><89.75.Da><89.75.Fb'|b'Danilo Sergi',,,
